Resultats per mesa - 2017

;;;;;;;;;;;;;;;;;;;Ciutadans-Partido de la Ciudadanía (C's);;Junts per Catalunya (JUNTSxCAT);;Esquerra Republicana-Catalunya Sí (ERC-CatSí);;Partit dels Socialistes de Catalunya (PSC-PSOE) (PSC);;Catalunya en Comú-Podem (CatComú-Podem);;Candidatura d'Unitat Popular (CUP);;Partit Popular / Partido Popular (PP);;Partit Animalista contra el Maltractament Animal (PACMA);;Recortes Cero-Grupo Verde (RECORTES CERO-GRUPO VERDE);;Per un Món Més Just (PU M+J);;Diàleg Republicà (Candidatura retirada) (DIÀLEG (C. RETIRADA));;
Codi circumscripció;Codi municipi;Nom municipi;Districte;Secció;Mesa;Cens electoral;Votants;% votants;Abstenció;% abstenció;Vots nuls;% vots nuls;Vots en blanc;% vots en blanc; Vots a candidatures;% vots a candidatures;Vots vàlids;% vots vàlids;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Vots;%;Codi comarca;Nom comarca;
08;001;Abrera                                            ;01;001 ;A;       369;       316;085,64;        53;014,36;         0;000,00;         0;000,00;       316;100,00;       316;100,00;        88;027,85;        34;010,76;        72;022,78;        59;018,67;        31;009,81;         9;002,85;        14;004,43;         5;001,58;         4;001,27;         0;000,00;         0;000,00;11;Baix Llobregat                          ;
08;001;Abrera                                            ;01;001 ;B;       366;       318;086,89;        48;013,11;         2;000,63;         3;000,94;       313;098,43;       316;099,37;        94;029,75;        28;008,86;        46;014,56;        77;024,37;        34;010,76;         5;001,58;        23;007,28;         5;001,58;         1;000,32;         0;000,00;         0;000,00;11;Baix Llobregat                          ;
08;001;Abrera                                            ;01;001 ;C;       407;       360;088,45;        47;011,55;         2;000,56;         1;000,28;       357;099,17;       358;099,44;       104;029,05;        38;010,61;        84;023,46;        66;018,44;        24;006,70;        14;003,91;        18;005,03;         8;002,23;         1;000,28;         0;000,00;         0;000,00;11;Baix Llobregat                          ;
08;001;Abrera                                            ;01;002 ;A;       420;       366;087,14;        54;012,86;         1;000,27;         2;000,55;       363;099,18;       365;099,73;       105;028,77;        44;012,05;        63;017,26;        76;020,82;        39;010,68;        11;003,01;        17;004,66;         7;001,92;         1;000,27;         0;000,00;         0;000,00;11;Baix Llobregat                          ;
08;001;Abrera                                            ;01;002 ;B;       412;       350;084,95;        62;015,05;         0;000,00;         3;000,86;       347;099,14;       350;100,00;       120;034,29;        30;008,57;        50;014,29;        73;020,86;        36;010,29;         8;002,29;        23;006,57;         6;001,71;         1;000,29;         0;000,00;         0;000,00;11;Baix Llobregat                          ;
08;001;Abrera                                            ;01;002 ;C;       432;       360;083,33;        72;016,67;         1;000,28;         1;000,28;       358;099,44;       359;099,72;       114;031,75;        33;009,19;        48;013,37;        86;023,96;        47;013,09;         6;001,67;        15;004,18;         7;001,95;         2;000,56;         0;000,00;         0;000,00;11;Baix Llobregat                          ;
08;001;Abrera                                            ;01;003 ;U;       570;       508;089,12;        62;010,88;         1;000,20;         2;000,39;       505;099,41;       507;099,80;       167;032,94;        65;012,82;       100;019,72;       101;019,92;        47;009,27;         8;001,58;         8;001,58;         7;001,38;         2;000,39;         0;000,00;         0;000,00;11;Baix Llobregat                          ;
08;001;Abrera                                            ;01;004 ;A;       832;       728;087,50;       104;012,50;         4;000,55;         2;000,27;       722;099,18;       724;099,45;       230;031,77;        63;008,70;       167;023,07;       135;018,65;        79;010,91;        15;002,07;        16;002,21;        11;001,52;         6;000,83;         0;000,00;         0;000,00;11;Baix Llobregat                          ;
08;001;Abrera                                            ;01;004 ;B;       520;       463;089,04;        57;010,96;         2;000,43;         4;000,86;       457;098,70;       461;099,57;       141;030,59;        53;011,50;        95;020,61;        77;016,70;        36;007,81;        16;003,47;        29;006,29;         7;001,52;         3;000,65;         0;000,00;         0;000,00;11;Baix Llobregat                          ;
08;001;Abrera                                            ;01;005 ;A;       671;       546;081,37;       125;018,63;         3;000,55;         5;000,92;       538;098,53;       543;099,45;       196;036,10;        29;005,34;        87;016,02;       120;022,10;        52;009,58;        12;002,21;        34;006,26;         8;001,47;         0;000,00;         0;000,00;         0;000,00;11;Baix Llobregat                          ;
08;001;Abrera                                            ;01;005 ;B;       718;       610;084,96;       108;015,04;         1;000,16;         3;000,49;       606;099,34;       609;099,84;       223;036,62;        42;006,90;        88;014,45;       121;019,87;        78;012,81;        17;002,79;        25;004,11;        11;001,81;         1;000,16;         0;000,00;         0;000,00;11;Baix Llobregat                          ;
08;001;Abrera                                            ;01;007 ;A;       520;       431;082,88;        89;017,12;         2;000,46;         1;000,23;       428;099,30;       429;099,54;       147;034,27;        36;008,39;        85;019,81;        80;018,65;        37;008,62;        13;003,03;        24;005,59;         4;000,93;         2;000,47;         0;000,00;         0;000,00;11;Baix Llobregat                          ;
08;001;Abrera                                            ;01;007 ;B;       616;       511;082,95;       105;017,05;         1;000,20;         3;000,59;       507;099,22;       510;099,80;       193;037,84;        33;006,47;        93;018,24;        97;019,02;        46;009,02;        12;002,35;        23;004,51;        10;001,96;         0;000,00;         0;000,00;         0;000,00;11;Baix Llobregat                          ;
08;001;Abrera                                            ;01;007 ;C;       713;       597;083,73;       116;016,27;         2;000,34;         3;000,50;       592;099,16;       595;099,66;       192;032,27;        63;010,59;       124;020,84;        81;013,61;        77;012,94;        24;004,03;        14;002,35;        14;002,35;         3;000,50;         0;000,00;         0;000,00;11;Baix Llobregat                          ;
08;001;Abrera                                            ;01;008 ;A;       640;       553;086,41;        87;013,59;         2;000,36;         3;000,54;       548;099,10;       551;099,64;       187;033,94;        41;007,44;       100;018,15;       104;018,87;        75;013,61;        11;002,00;        20;003,63;         8;001,45;         2;000,36;         0;000,00;         0;000,00;11;Baix Llobregat                          ;
08;001;Abrera                                            ;01;008 ;B;       761;       678;089,09;        83;010,91;         2;000,29;         2;000,29;       674;099,41;       676;099,71;       258;038,17;        48;007,10;       109;016,12;       134;019,82;        77;011,39;        17;002,51;        18;002,66;        11;001,63;         2;000,30;         0;000,00;         0;000,00;11;Baix Llobregat                          ;
08;002;Aguilar de Segarra                                ;01;001 ;U;       215;       189;087,91;        26;012,09;         4;002,12;         0;000,00;       185;097,88;       185;097,88;        12;006,49;        85;045,95;        37;020,00;         9;004,86;         1;000,54;        38;020,54;         3;001,62;         0;000,00;         0;000,00;         0;000,00;         0;000,00;07;Bages                                   ;
08;003;Alella                                            ;01;001 ;A;       663;       571;086,12;        92;013,88;         3;000,53;         4;000,70;       564;098,77;       568;099,47;        88;015,49;       193;033,98;       154;027,11;        59;010,39;        31;005,46;        25;004,40;        12;002,11;         0;000,00;         2;000,35;         0;000,00;         0;000,00;21;Maresme                                 ;
