Codi circumscripci�,Codi municipi,Nom municipi,Districte,Secci�,Mesa,Cens electoral,Votants,% votants,Abstenci�,% abstenci�,Vots nuls,% vots nuls,Vots en blanc,% vots en blanc, Vots a candidatures,% vots a candidatures,Vots v�lids,% vots v�lids,Codi comarca,Nom comarca
8,1,Abrera                                            ,1,1,A,369,316,"085,64",53,"014,36",0,"000,00",0,"000,00",316,"100,00",316,"100,00",11,Baix Llobregat                          
8,1,Abrera                                            ,1,1,B,366,318,"086,89",48,"013,11",2,"000,63",3,"000,94",313,"098,43",316,"099,37",11,Baix Llobregat                          
8,1,Abrera                                            ,1,1,C,407,360,"088,45",47,"011,55",2,"000,56",1,"000,28",357,"099,17",358,"099,44",11,Baix Llobregat                          
8,1,Abrera                                            ,1,2,A,420,366,"087,14",54,"012,86",1,"000,27",2,"000,55",363,"099,18",365,"099,73",11,Baix Llobregat                          
8,1,Abrera                                            ,1,2,B,412,350,"084,95",62,"015,05",0,"000,00",3,"000,86",347,"099,14",350,"100,00",11,Baix Llobregat                          
8,1,Abrera                                            ,1,2,C,432,360,"083,33",72,"016,67",1,"000,28",1,"000,28",358,"099,44",359,"099,72",11,Baix Llobregat                          
8,1,Abrera                                            ,1,3,U,570,508,"089,12",62,"010,88",1,"000,20",2,"000,39",505,"099,41",507,"099,80",11,Baix Llobregat                          
8,1,Abrera                                            ,1,4,A,832,728,"087,50",104,"012,50",4,"000,55",2,"000,27",722,"099,18",724,"099,45",11,Baix Llobregat                          
8,1,Abrera                                            ,1,4,B,520,463,"089,04",57,"010,96",2,"000,43",4,"000,86",457,"098,70",461,"099,57",11,Baix Llobregat                          
8,1,Abrera                                            ,1,5,A,671,546,"081,37",125,"018,63",3,"000,55",5,"000,92",538,"098,53",543,"099,45",11,Baix Llobregat                          
8,1,Abrera                                            ,1,5,B,718,610,"084,96",108,"015,04",1,"000,16",3,"000,49",606,"099,34",609,"099,84",11,Baix Llobregat                          
8,1,Abrera                                            ,1,7,A,520,431,"082,88",89,"017,12",2,"000,46",1,"000,23",428,"099,30",429,"099,54",11,Baix Llobregat                          
8,1,Abrera                                            ,1,7,B,616,511,"082,95",105,"017,05",1,"000,20",3,"000,59",507,"099,22",510,"099,80",11,Baix Llobregat                          
8,1,Abrera                                            ,1,7,C,713,597,"083,73",116,"016,27",2,"000,34",3,"000,50",592,"099,16",595,"099,66",11,Baix Llobregat                          
8,1,Abrera                                            ,1,8,A,640,553,"086,41",87,"013,59",2,"000,36",3,"000,54",548,"099,10",551,"099,64",11,Baix Llobregat                          
8,1,Abrera                                            ,1,8,B,761,678,"089,09",83,"010,91",2,"000,29",2,"000,29",674,"099,41",676,"099,71",11,Baix Llobregat                          
8,2,Aguilar de Segarra                                ,1,1,U,215,189,"087,91",26,"012,09",4,"002,12",0,"000,00",185,"097,88",185,"097,88",7,Bages                                   
8,3,Alella                                            ,1,1,A,663,571,"086,12",92,"013,88",3,"000,53",4,"000,70",564,"098,77",568,"099,47",21,Maresme                                 
8,3,Alella                                            ,1,1,B,640,543,"084,84",97,"015,16",2,"000,37",1,"000,18",540,"099,45",541,"099,63",21,Maresme                                 
8,3,Alella                                            ,1,1,C,681,578,"084,88",103,"015,12",3,"000,52",3,"000,52",572,"098,96",575,"099,48",21,Maresme                                 
8,3,Alella                                            ,1,2,A,829,721,"086,97",108,"013,03",0,"000,00",0,"000,00",721,"100,00",721,"100,00",21,Maresme                                 
8,3,Alella                                            ,1,2,B,977,845,"086,49",132,"013,51",3,"000,36",8,"000,95",834,"098,70",842,"099,64",21,Maresme                                 
8,3,Alella                                            ,1,3,A,811,690,"085,08",121,"014,92",1,"000,14",4,"000,58",685,"099,28",689,"099,86",21,Maresme                                 
8,3,Alella                                            ,1,3,B,886,747,"084,31",139,"015,69",1,"000,13",1,"000,13",745,"099,73",746,"099,87",21,Maresme                                 
8,3,Alella                                            ,1,4,A,771,638,"082,75",133,"017,25",3,"000,47",6,"000,94",629,"098,59",635,"099,53",21,Maresme                                 
8,3,Alella                                            ,1,4,B,884,730,"082,58",154,"017,42",3,"000,41",2,"000,27",725,"099,32",727,"099,59",21,Maresme                                 
8,4,Alpens                                            ,1,1,U,212,195,"091,98",17,"008,02",0,"000,00",2,"001,03",193,"098,97",195,"100,00",24,Osona                                   
8,5,"Ametlla del Vall�s, l'                            ",1,1,A,569,483,"084,89",86,"015,11",1,"000,21",1,"000,21",481,"099,59",482,"099,79",41,Vall�s Oriental                         
8,5,"Ametlla del Vall�s, l'                            ",1,1,B,653,528,"080,86",125,"019,14",0,"000,00",1,"000,19",527,"099,81",528,"100,00",41,Vall�s Oriental                         
8,5,"Ametlla del Vall�s, l'                            ",1,1,C,548,463,"084,49",85,"015,51",1,"000,22",0,"000,00",462,"099,78",462,"099,78",41,Vall�s Oriental                         
8,5,"Ametlla del Vall�s, l'                            ",1,2,A,633,553,"087,36",80,"012,64",1,"000,18",0,"000,00",552,"099,82",552,"099,82",41,Vall�s Oriental                         
8,5,"Ametlla del Vall�s, l'                            ",1,2,B,692,588,"084,97",104,"015,03",1,"000,17",3,"000,51",584,"099,32",587,"099,83",41,Vall�s Oriental                         
8,5,"Ametlla del Vall�s, l'                            ",1,3,A,654,579,"088,53",75,"011,47",2,"000,35",1,"000,17",576,"099,48",577,"099,65",41,Vall�s Oriental                         
8,5,"Ametlla del Vall�s, l'                            ",1,3,B,585,495,"084,62",90,"015,38",1,"000,20",1,"000,20",493,"099,60",494,"099,80",41,Vall�s Oriental                         
8,5,"Ametlla del Vall�s, l'                            ",1,3,C,613,538,"087,77",75,"012,23",0,"000,00",4,"000,74",534,"099,26",538,"100,00",41,Vall�s Oriental                         
8,5,"Ametlla del Vall�s, l'                            ",1,4,A,380,326,"085,79",54,"014,21",0,"000,00",1,"000,31",325,"099,69",326,"100,00",41,Vall�s Oriental                         
8,5,"Ametlla del Vall�s, l'                            ",1,4,B,420,357,"085,00",63,"015,00",1,"000,28",3,"000,84",353,"098,88",356,"099,72",41,Vall�s Oriental                         
8,5,"Ametlla del Vall�s, l'                            ",1,5,U,570,492,"086,32",78,"013,68",0,"000,00",4,"000,81",488,"099,19",492,"100,00",41,Vall�s Oriental                         
8,6,Arenys de Mar                                     ,1,1,A,832,664,"079,81",168,"020,19",1,"000,15",2,"000,30",661,"099,55",663,"099,85",21,Maresme                                 
8,6,Arenys de Mar                                     ,1,1,B,965,800,"082,90",165,"017,10",1,"000,13",3,"000,38",796,"099,50",799,"099,88",21,Maresme                                 
8,6,Arenys de Mar                                     ,1,2,A,510,439,"086,08",71,"013,92",1,"000,23",2,"000,46",436,"099,32",438,"099,77",21,Maresme                                 
8,6,Arenys de Mar                                     ,1,2,B,618,522,"084,47",96,"015,53",3,"000,57",1,"000,19",518,"099,23",519,"099,43",21,Maresme                                 
8,6,Arenys de Mar                                     ,1,2,C,526,440,"083,65",86,"016,35",5,"001,14",1,"000,23",434,"098,64",435,"098,86",21,Maresme                                 
8,6,Arenys de Mar                                     ,1,3,A,444,345,"077,70",99,"022,30",1,"000,29",2,"000,58",342,"099,13",344,"099,71",21,Maresme                                 
8,6,Arenys de Mar                                     ,1,3,B,498,394,"079,12",104,"020,88",1,"000,25",3,"000,76",390,"098,98",393,"099,75",21,Maresme                                 
8,6,Arenys de Mar                                     ,1,4,U,910,695,"076,37",215,"023,63",2,"000,29",1,"000,14",692,"099,57",693,"099,71",21,Maresme                                 
8,6,Arenys de Mar                                     ,2,1,A,606,483,"079,70",123,"020,30",3,"000,62",1,"000,21",479,"099,17",480,"099,38",21,Maresme                                 
8,6,Arenys de Mar                                     ,2,1,B,705,566,"080,28",139,"019,72",2,"000,35",3,"000,53",561,"099,12",564,"099,65",21,Maresme                                 
8,6,Arenys de Mar                                     ,2,2,A,696,583,"083,76",113,"016,24",3,"000,51",4,"000,69",576,"098,80",580,"099,49",21,Maresme                                 
8,6,Arenys de Mar                                     ,2,2,B,711,604,"084,95",107,"015,05",1,"000,17",1,"000,17",602,"099,67",603,"099,83",21,Maresme                                 
8,6,Arenys de Mar                                     ,2,3,A,643,503,"078,23",140,"021,77",2,"000,40",2,"000,40",499,"099,20",501,"099,60",21,Maresme                                 
8,6,Arenys de Mar                                     ,2,3,B,752,587,"078,06",165,"021,94",1,"000,17",1,"000,17",585,"099,66",586,"099,83",21,Maresme                                 
8,6,Arenys de Mar                                     ,2,4,A,444,338,"076,13",106,"023,87",1,"000,30",3,"000,89",334,"098,82",337,"099,70",21,Maresme                                 
8,6,Arenys de Mar                                     ,2,4,B,551,435,"078,95",116,"021,05",4,"000,92",1,"000,23",430,"098,85",431,"099,08",21,Maresme                                 
8,6,Arenys de Mar                                     ,2,5,A,610,512,"083,93",98,"016,07",0,"000,00",0,"000,00",512,"100,00",512,"100,00",21,Maresme                                 
8,6,Arenys de Mar                                     ,2,5,B,648,554,"085,49",94,"014,51",1,"000,18",2,"000,36",551,"099,46",553,"099,82",21,Maresme                                 
8,7,Arenys de Munt                                    ,1,1,A,530,438,"082,64",92,"017,36",1,"000,23",2,"000,46",435,"099,32",437,"099,77",21,Maresme                                 
8,7,Arenys de Munt                                    ,1,1,B,623,523,"083,95",100,"016,05",0,"000,00",1,"000,19",522,"099,81",523,"100,00",21,Maresme                                 
8,7,Arenys de Munt                                    ,1,2,A,584,505,"086,47",79,"013,53",0,"000,00",1,"000,20",504,"099,80",505,"100,00",21,Maresme                                 
8,7,Arenys de Munt                                    ,1,2,B,428,358,"083,64",70,"016,36",0,"000,00",0,"000,00",358,"100,00",358,"100,00",21,Maresme                                 
8,7,Arenys de Munt                                    ,1,2,C,619,518,"083,68",101,"016,32",1,"000,19",3,"000,58",514,"099,23",517,"099,81",21,Maresme                                 
8,7,Arenys de Munt                                    ,1,2,D,602,517,"085,88",85,"014,12",0,"000,00",0,"000,00",517,"100,00",517,"100,00",21,Maresme                                 
8,7,Arenys de Munt                                    ,2,1,A,551,493,"089,47",58,"010,53",2,"000,41",3,"000,61",488,"098,99",491,"099,59",21,Maresme                                 
8,7,Arenys de Munt                                    ,2,1,B,558,486,"087,10",72,"012,90",4,"000,82",2,"000,41",480,"098,77",482,"099,18",21,Maresme                                 
8,7,Arenys de Munt                                    ,2,1,C,502,442,"088,05",60,"011,95",0,"000,00",1,"000,23",441,"099,77",442,"100,00",21,Maresme                                 
8,7,Arenys de Munt                                    ,2,2,A,538,430,"079,93",108,"020,07",0,"000,00",2,"000,47",428,"099,53",430,"100,00",21,Maresme                                 
8,7,Arenys de Munt                                    ,2,2,B,513,422,"082,26",91,"017,74",1,"000,24",2,"000,47",419,"099,29",421,"099,76",21,Maresme                                 
8,7,Arenys de Munt                                    ,2,2,C,576,484,"084,03",92,"015,97",2,"000,41",1,"000,21",481,"099,38",482,"099,59",21,Maresme                                 
8,8,Argen�ola                                         ,1,1,U,190,158,"083,16",32,"016,84",0,"000,00",0,"000,00",158,"100,00",158,"100,00",6,Anoia                                   
